JSON Path,Status,Involved Terms,Original,Translation
root.entries.Menace Under Otari.journals.Creating Your Hero.name,⚠️ 修正,Creating Your Hero->创建你的角色,Creating Your Hero,创建你的角色
root.entries.Menace Under Otari.journals.Gamemastering.pages.Getting Started.name,⚠️ 修正,Getting Started->开始,Getting Started,入门
root.entries.Menace Under Otari.journals.Gamemastering.pages.Locations.text,⚠️ 修正,environment->环境 | adventure->冒险 | weather->天气 | weather->天气 | Hazards->危害,"<figure class=""head""><img class=""noborder"" src=""modules/pf2e-beginner-box/assets/artwork-vignettes/blazing-desert.webp"" width=""650"" /></figure><p>Bring out the players’ curiosity through memorable settings that include mysterious and fantastical locations for the heroes to visit! Exploring each location should be a treat in itself, not just a step the players must complete to get from one fight to the next. As you create a locale, picture it in your mind’s eye, and write down details you can include as you narrate the game. Describing decorations, natural landmarks, wildlife, peculiar smells, and even temperature changes makes a place feel more real.</p><p>Beyond monsters and loot, your locations can include challenges based on the environment, from weather conditions like blizzards to puzzles, traps, or other hazards. These challenges should suit your adventure’s location: walls of brambles in a castle ruin overrun with vegetation, pools of acid in a cursed swamp, or magical traps in the tomb of a paranoid wizard. Consult the handouts for @UUID[.AJZOnRliAzq7nbDM]{Environments}, @UUID[.mhP6TyghfJ6AE3ia]{Weather}, and @UUID[.f82BLxCvoOGIzQ7U]{Hazards} for inspiration.</p>","<figure class=""head""><img class=""noborder"" src=""modules/pf2e-beginner-box/assets/artwork-vignettes/blazing-desert.webp"" width=""650"" title /></figure><p>通过令人难忘的背景设定来激发玩家的好奇心，其中包括供英雄们造访的神秘且奇幻的地点！探索每个地点本身就应该是一种享受，而不仅仅是玩家为了从一场战斗进入下一场战斗而必须完成的步骤。当你创造一个地点时，在脑海中构思它的样子，并写下你在描述游戏时可以包含的细节。描述装饰物、自然地标、野生动物、独特的气味，甚至是温度的变化，都会让一个地方感觉更加真实。</p><p>除了怪物和战利品，你的地点还可以包含基于环境的挑战，从暴风雪等天气状况到谜题、陷阱或其他危害。这些挑战应该符合你冒险的地点：在植被丛生的城堡废墟中出现的荆棘墙，在受诅咒沼泽中的酸液池，或者是偏执法师陵墓中的魔法陷阱。查阅关于@UUID[.AJZOnRliAzq7nbDM]{环境}、@UUID[.mhP6TyghfJ6AE3ia]{天气}和@UUID[.f82BLxCvoOGIzQ7U]{危害}的讲义以获取灵感。</p>"
root.entries.Menace Under Otari.journals.Gamemastering.pages.Difficulty Tables.text,✅ 新译,proficiency->熟练度 | adventure->冒险 | Creatures->生物 | baseline->底线 | creature->生物 | creature->生物 | rarity->稀有度 | level->等级 | level->等级 | level->等级 | level->等级 | level->等级 | level->等级 | skill->技能 | spell->法术 | spell->法术 | item->物品 | item->物品,"<p>As the Game Master, it’s up to you to set the difficulty classes (DCs) for checks that don’t already say what the DC is. Most adventures include the most important DCs in them, but the players will improvise and try things the adventure writer didn’t think of! Always base the DC on how hard the task is, regardless of how good at it the heroes are. Sometimes the players will attempt something that’s really easy for them, and that’s okay!</p><p>If the DC is for something with a level, like a spell or item, see Level-Based DCs below.</p><section class=""character-creation""><article class=""full""><h1>Table 10-4: Simple DCs</h1><p>You can select a simple DC from the table below by estimating which proficiency rank best matches the task (that rank isn't required to succeed at the task, just used for guidance).</p><p>• If pretty much anyone would have a decent chance, use the untrained DC.</p><p>• If anyone with some training has a solid chance, use the trained DC.</p><p>• If someone has to be highly skilled, use the expert DC.</p><p>• If this task is highly unlikely for a hero to be able to achieve, use the master DC.</p><table><tbody><tr><th><p>Proficiency</p></th><th><p>DC</p></th></tr><tr><td><p>Untrained</p></td><td><p>10</p></td></tr><tr><td><p>Trained</p></td><td><p>15</p></td></tr><tr><td><p>Expert</p></td><td><p>20</p></td></tr><tr><td><p>Master</p></td><td><p>30</p></td></tr><tr><td><p>Legendary</p></td><td><p>40</p></td></tr></tbody></table></article><article class=""full""><h1>Table 10-5: Level-Based DCs</h1><p>When you're determining a skill DC based on something that has a level, such as when a hero needs to Recall Knowledge about a creature or Identify a Spell, use a level-based DC. Find the level of the subject on the table, and assign the corresponding DC. Creatures and spells use different scales, so make sure you use the correct column.</p><table><tbody><tr><th><p>Creature Level</p></th><th><p>DC</p></th><th><p>Spell Rank</p></th><th><p>DC</p></th></tr><tr><td><p>0 or -1</p></td><td><p>14</p></td><td><p>1st</p></td><td><p>15</p></td></tr><tr><td><p>1</p></td><td><p>15</p></td><td><p>2nd</p></td><td><p>18</p></td></tr><tr><td><p>2</p></td><td><p>16</p></td><td><p>3rd</p></td><td><p>20</p></td></tr><tr><td><p>3</p></td><td><p>18</p></td><td><p>4th</p></td><td><p>23</p></td></tr><tr><td><p>4</p></td><td><p>19</p></td><td><p>5th</p></td><td><p>26</p></td></tr><tr><td><p>5</p></td><td><p>20</p></td><td><p>6th</p></td><td><p>28</p></td></tr><tr><td><p>6</p></td><td><p>22</p></td><td><p>7th</p></td><td><p>31</p></td></tr><tr><td><p>7</p></td><td><p>23</p></td><td><p>8th</p></td><td><p>34</p></td></tr><tr><td><p>8</p></td><td><p>24</p></td><td><p>9th</p></td><td><p>36</p></td></tr><tr><td><p>9</p></td><td><p>26</p></td><td><p>10th</p></td><td><p>39</p></td></tr></tbody></table></article><article class=""full""><h1>Table 10-6: DC Adjustments</h1><p>You might decide a DC should differ from the baseline. For instance, maybe when the heroes reached a cliff, they climbed it with a DC of 15, but when they came back, it was raining. You could adjust the DC up to 17 because it's harder to climb in these conditions. Similarly, the rarity of a creature or item might influence the DC to recall knowledge about it.</p><table><tbody><tr><th><p>Difficulty</p></th><th><p>Adjustment</p></th><th><p>Rarity</p></th></tr><tr><td><p>Incredibly easy</p></td><td><p>–10</p></td><td><p> </p></td></tr><tr><td><p>Very easy</p></td><td><p>–5</p></td><td><p> </p></td></tr><tr><td><p>Easy</p></td><td><p>–2</p></td><td><p> </p></td></tr><tr><td><p>Hard</p></td><td><p>+2</p></td><td><p>Uncommon</p></td></tr><tr><td><p>Very hard</p></td><td><p>+5</p></td><td><p>Rare</p></td></tr><tr><td><p>Incredibly hard</p></td><td><p>+10</p></td><td><p>Unique</p></td></tr></tbody></table></article></section>","<p>作为游戏管理者，由你来为那些没有注明难度等级（DC）的检定设定 DC。大多数冒险都会包含最重要的 DC，但玩家们会即兴发挥，尝试一些冒险作者没有想到的事情！始终根据任务的难度来设定 DC，无论英雄们对此有多擅长。有时玩家会尝试一些对他们来说非常容易的事情，这没关系！</p><p>如果 DC 是针对具有等级的事物，例如法术或物品，请参阅下方的基于等级的 DC。</p><section class=""character-creation""><article class=""full""><h1>表 10-4：简单 DC</h1><p>你可以通过评估哪种熟练度等级最适合该任务，从下表中选择一个简单 DC（该等级并非成功完成任务所必需，仅用于指导）。</p><p>• 如果几乎任何人都有相当大的机会，请使用未入门 DC。</p><p>• 如果任何受过一定训练的人都有可靠的机会，请使用受训 DC。</p><p>• 如果某人必须技艺精湛，请使用专家 DC。</p><p>• 如果英雄极不可能完成这项任务，请使用大师 DC。</p><table><tbody><tr><th><p>熟练度</p></th><th><p>DC</p></th></tr><tr><td><p>未入门</p></td><td><p>10</p></td></tr><tr><td><p>受训</p></td><td><p>15</p></td></tr><tr><td><p>专家</p></td><td><p>20</p></td></tr><tr><td><p>大师</p></td><td><p>30</p></td></tr><tr><td><p>传奇</p></td><td><p>40</p></td></tr></tbody></table></article><article class=""full""><h1>表 10-5：基于等级的 DC</h1><p>当你根据具有等级的事物确定技能 DC 时，例如当英雄需要对生物进行回忆知识或辨识法术时，请使用基于等级的 DC。在表中找到目标的等级，并分配相应的 DC。生物和法术使用不同的标准，因此请确保使用正确的列。</p><table><tbody><tr><th><p>生物等级</p></th><th><p>DC</p></th><th><p>法术阶层</p></th><th><p>DC</p></th></tr><tr><td><p>0 或 -1</p></td><td><p>14</p></td><td><p>1 阶</p></td><td><p>15</p></td></tr><tr><td><p>1</p></td><td><p>15</p></td><td><p>2 阶</p></td><td><p>18</p></td></tr><tr><td><p>2</p></td><td><p>16</p></td><td><p>3 阶</p></td><td><p>20</p></td></tr><tr><td><p>3</p></td><td><p>18</p></td><td><p>4 阶</p></td><td><p>23</p></td></tr><tr><td><p>4</p></td><td><p>19</p></td><td><p>5 阶</p></td><td><p>26</p></td></tr><tr><td><p>5</p></td><td><p>20</p></td><td><p>6 阶</p></td><td><p>28</p></td></tr><tr><td><p>6</p></td><td><p>22</p></td><td><p>7 阶</p></td><td><p>31</p></td></tr><tr><td><p>7</p></td><td><p>23</p></td><td><p>8 阶</p></td><td><p>34</p></td></tr><tr><td><p>8</p></td><td><p>24</p></td><td><p>9 阶</p></td><td><p>36</p></td></tr><tr><td><p>9</p></td><td><p>26</p></td><td><p>10 阶</p></td><td><p>39</p></td></tr></tbody></table></article><article class=""full""><h1>表 10-6：DC 调整</h1><p>你可能会决定某个 DC 应该与底线有所不同。例如，也许当英雄们到达悬崖时，他们以 15 的 DC 攀爬，但当他们回来时，天正在下雨。你可以将 DC 调高到 17，因为在这些条件下攀爬更困难。同样，生物或物品的稀有度可能会影响回忆相关知识的 DC。</p><table><tbody><tr><th><p>难度</p></th><th><p>调整</p></th><th><p>稀有度</p></th></tr><tr><td><p>极易</p></td><td><p>–10</p></td><td><p> </p></td></tr><tr><td><p>非常容易</p></td><td><p>–5</p></td><td><p> </p></td></tr><tr><td><p>容易</p></td><td><p>–2</p></td><td><p> </p></td></tr><tr><td><p>困难</p></td><td><p>+2</p></td><td><p>非常规</p></td></tr><tr><td><p>非常困难</p></td><td><p>+5</p></td><td><p>稀有</p></td></tr><tr><td><p>极难</p></td><td><p>+10</p></td><td><p>独特</p></td></tr></tbody></table></article></section>"
root.entries.Menace Under Otari.journals.Creating Your Hero.pages.Finishing your Hero.name,⚠️ 修正,Finishing your Hero->完成你的英雄,Finishing your Hero,完成你的英雄
root.entries.Menace Under Otari.journals.Creating Your Hero.pages.Choosing an Ancestry.name,✅ 新译,ancestry->族裔,Choosing an Ancestry,选择族裔
root.entries.Menace Under Otari.folders.Treasure,⚠️ 修正,treasure->宝藏,Treasure,宝藏
root.entries.Menace Under Otari.journals.Gamemastering.pages.Downtime.text,✅ 新译,downtime->休整模式 | downtime->休整模式 | downtime->休整模式 | downtime->休整模式 | Heroes->英雄 | level->等级 | level->等级 | magic->魔法 | gear->道具 | rest->休息 | rest->休息 | rest->休息 | time->时代 | time->时代 | time->时代,"<figure class=""head""><img class=""noborder"" src=""modules/pf2e-beginner-box/assets/artwork-vignettes/shopping-for-armour.webp"" width=""650"" /></figure><p>When the heroes return home or otherwise aren’t adventuring, they’re in downtime. This is their time to do everyday activities, such as buying gear. You might not have any downtime in your games at all! If the heroes do have some time off between adventures, just ask the players to spend a few minutes describing what their heroes do in that time. You probably won’t need to roleplay any scenes. Downtime is a bigger focus of the full Pathfinder game since the choices the heroes make carry across all 20 levels of play.</p><p>Two things heroes can likely do during downtime are shop for magic items and rest long enough to recover from ailments. A hero who does nothing but rest for a full 24-hour period recovers Hit Points equal to double their Constitution instead of the normal amount from an 8-hour rest. Heroes above 1st level multiply this amount by their level.</p>","<figure class=""head""><img class=""noborder"" src=""modules/pf2e-beginner-box/assets/artwork-vignettes/shopping-for-armour.webp"" width=""650"" /></figure><p>当英雄们回到家乡或是不在冒险时，他们处于休整模式。这是他们进行日常活动的时间，例如购买装备。你的游戏中可能根本没有任何休整模式！如果英雄们在冒险之间确实有一些时间，只需让玩家花几分钟描述他们的英雄在那段时间里做了什么。你可能不需要进行任何场景的角色扮演。休整模式是完整版开拓者游戏的重点，因为英雄们所做的选择会贯穿全部 20 个等级的游戏过程。</p><p>英雄在休整模式期间可能做的两件事是购买魔法物品，以及进行足够长的休息以从疾病中恢复。一名除了休息以外什么都不做的英雄，在整整 24 小时后恢复的生命值等于其体质的两倍，而非通常 8 小时休息所恢复的数值。1 级以上的英雄将此数值乘以其等级。</p>"
root.entries.Menace Under Otari.journals.Gamemastering.pages.Encounter Budget.text,✅ 新译,character->角色 | character->角色 | character->角色 | encounter->遭遇 | encounter->遭遇 | encounter->遭遇 | Creatures->生物 | Creatures->生物 | campaign->战役 | creature->生物 | creature->生物 | monster->怪物 | hazard->危害 | hazard->危害 | player->玩家 | level->等级 | level->等级 | level->等级 | level->等级 | level->等级 | level->等级 | level->等级 | level->等级 | level->等级 | level->等级 | level->等级 | level->等级 | level->等级 | level->等级 | level->等级 | level->等级 | size->体型,"<section class=""character-creation""><article class=""full""><h1>Table 10-1: Encounter Budget</h1><p>Choose a difficulty for your encounter. Remember— Severe encounters have a high chance of a player character being hurt, and Extreme encounters should be reserved for campaign-ending pivotal fights!</p><p>The ""character adjustment"" column tells you how much XP to add or remove from your budget for each character above or below the standard party size of four heroes.</p><table><tbody><tr><th>Encounter Budget</th><th>Difficulty</th><th>Character Adjustment</th></tr><tr><td>40 or less</td><td>Trivial</td><td>10 or less</td></tr><tr><td>60</td><td>Low</td><td>15</td></tr><tr><td>80</td><td>Moderate</td><td>20</td></tr><tr><td>120</td><td>Severe</td><td>30</td></tr><tr><td>160</td><td>Extreme</td><td>40</td></tr></tbody></table></article><article class=""full""><h1>Table 10-2: Creature XP and Role</h1><p>Choose a number of creatures whose XP total adds up to your budget. Remember to use a good mix of levels! Creatures that are one or two levels above your players make for good bosses but can be frustrating to fight often. Creatures three or more levels above them are extremely deadly threats even by themselves!</p><table><tbody><tr><th>Individual Monster XP</th><th>Creature Level</th><th>Suggested Role</th></tr><tr><td>10</td><td>Party Level -4</td><td>Low-threat lackey</td></tr><tr><td>15</td><td>Party Level -3</td><td>Low- or Moderate-threat lackey</td></tr><tr><td>20</td><td>Party Level -2</td><td>Any lackey or standard creature</td></tr><tr><td>30</td><td>Party Level -1</td><td>Any standard creature</td></tr><tr><td>40</td><td>Party Level</td><td>Any standard creature or Low-threat boss</td></tr><tr><td>60</td><td>Party Level +1</td><td>Low- or Severe- threat boss</td></tr><tr><td>80</td><td>Party Level +2</td><td>Moderate- or Severe-threat Boss</td></tr><tr><td>120</td><td>Party Level +3</td><td>Severe- or Extreme-threat boss</td></tr><tr><td>160</td><td>Party Level +4</td><td>Extreme-threat solo boss</td></tr></tbody></table></article><article class=""full""><h1>Table 10-14: Hazard XP</h1><p>If you'd like, you can also use hazards to add XP to your encounter. The XP value of a hazard depends on whether it's simple or complex.</p><table><tbody><tr><th>Level</th><th>Simple Hazard</th><th>Complex Hazard</th></tr><tr><td>Party Level -4</td><td>2</td><td>10</td></tr><tr><td>Party Level -3</td><td>3</td><td>15</td></tr><tr><td>Party Level -2</td><td>4</td><td>20</td></tr><tr><td>Party Level -1</td><td>6</td><td>30</td></tr><tr><td>Party Level</td><td>8</td><td>40</td></tr><tr><td>Party Level +1</td><td>12</td><td>60</td></tr><tr><td>Party Level +2</td><td>16</td><td>80</td></tr><tr><td>Party Level +3</td><td>24</td><td>120</td></tr><tr><td>Party Level +4</td><td>30</td><td>150</td></tr></tbody></table></article></section>","<section class=""character-creation""><article class=""full""><h1>表 10-1：遭遇预算</h1><p>为你的遭遇选择一个难度。记住——严峻遭遇有很高几率导致玩家角色受伤，而极难遭遇应当留给那些关乎战役终结的关键战斗！</p><p>“角色调整值”一栏会告诉你，对于超出或少于标准四人英雄团队体型的每个角色，你应该从预算中增加或减少多少经验值（XP）。</p><table><tbody><tr><th>遭遇预算</th><th>难度</th><th>角色调整值</th></tr><tr><td>40 或更少</td><td>琐碎</td><td>10 或更少</td></tr><tr><td>60</td><td>低级</td><td>15</td></tr><tr><td>80</td><td>中等</td><td>20</td></tr><tr><td>120</td><td>严峻</td><td>30</td></tr><tr><td>160</td><td>极难</td><td>40</td></tr></tbody></table></article><article class=""full""><h1>表 10-2：生物经验值与角色</h1><p>选择一定数量的生物，使其经验值总和达到你的预算。记住要混合使用不同等级！比玩家高一两级的生物是很好的首领，但频繁战斗可能会令人沮丧。比他们高三级或以上的生物即使只有一只，也是极其致命的威胁！</p><table><tbody><tr><th>单个怪物经验值</th><th>生物等级</th><th>建议角色</th></tr><tr><td>10</td><td>队伍等级 -4</td><td>低威胁喽啰</td></tr><tr><td>15</td><td>队伍等级 -3</td><td>低或中等威胁喽啰</td></tr><tr><td>20</td><td>队伍等级 -2</td><td>任何喽啰或标准生物</td></tr><tr><td>30</td><td>队伍等级 -1</td><td>任何标准生物</td></tr><tr><td>40</td><td>队伍等级</td><td>任何标准生物或低威胁首领</td></tr><tr><td>60</td><td>队伍等级 +1</td><td>低或严峻威胁首领</td></tr><tr><td>80</td><td>队伍等级 +2</td><td>中等或严峻威胁首领</td></tr><tr><td>120</td><td>队伍等级 +3</td><td>严峻或极难威胁首领</td></tr><tr><td>160</td><td>队伍等级 +4</td><td>极难威胁单体首领</td></tr></tbody></table></article><article class=""full""><h1>表 10-14：危害经验值</h1><p>如果你愿意，你也可以使用危害来为你的遭遇增加经验值。危害的经验值取决于它是简单还是复杂。</p><table><tbody><tr><th>等级</th><th>简单危害</th><th>复杂危害</th></tr><tr><td>队伍等级 -4</td><td>2</td><td>10</td></tr><tr><td>队伍等级 -3</td><td>3</td><td>15</td></tr><tr><td>队伍等级 -2</td><td>4</td><td>20</td></tr><tr><td>队伍等级 -1</td><td>6</td><td>30</td></tr><tr><td>队伍等级</td><td>8</td><td>40</td></tr><tr><td>队伍等级 +1</td><td>12</td><td>60</td></tr><tr><td>队伍等级 +2</td><td>16</td><td>80</td></tr><tr><td>队伍等级 +3</td><td>24</td><td>120</td></tr><tr><td>队伍等级 +4</td><td>30</td><td>150</td></tr></tbody></table></article></section>"
root.entries.Menace Under Otari.journals.Creating Your Hero.pages.Pregenerated Heroes.text,✅ 新译,character creation->创建角色 | Merisiel->梅瑞希尔 | Valeros->瓦莱洛斯 | Heroes->英雄 | class->职业 | level->等级 | Ezren->艾兹伦 | Kyra->凯拉,"<p>The Beginner Box was designed for use with the following four iconic characters, any of which would be a great choice for new players or those who want to jump straight into the action:</p><section class=""character-creation""><article class=""full""><section><figure><img src=""modules/pf2e-beginner-box/assets/tokens-heroes/iconics/kyra.webp"" width=""200"" /><figcaption>@Actor[yoAU5rWYH4KJGPr5]{Kyra}</figcaption></figure><figure><img src=""modules/pf2e-beginner-box/assets/tokens-heroes/iconics/valeros.webp"" width=""200"" /><figcaption>@Actor[vcwqnXHkhzFhrt7O]{Valeros}</figcaption></figure><figure><img src=""modules/pf2e-beginner-box/assets/tokens-heroes/iconics/merisiel.webp"" width=""200"" /><figcaption>@Actor[czQ0MaZBu3BqMpce]{Merisiel}</figcaption></figure><figure><img src=""modules/pf2e-beginner-box/assets/tokens-heroes/iconics/ezren.webp"" width=""200"" /><figcaption>@Actor[WNX5OQKPh4uaV7mW]{Ezren}</figcaption></figure></section></article></section><p>You can find them under ""Heroes"" on the actors tab of the sidebar on the right hand side of your screen. </p><p>To learn more about how to play the iconic characters, or to help you decide which one to play, you can read the descriptions of each class, which finishes with a summary of their backstory.</p><h2>Other Characters</h2><p>If you want to expand the choices at your table, any of the level 1 heroes from the Iconics compendium would serve well. However, some of them may feature more complicated classes or features than those included in the Beginner Box.</p><p>In addition, you can always make your own heroes from scratch. In that case, consult the @UUID[.RRxNZiD64dvvpWYt]{Character Creation} journal page. You'll need to provide your own tokens for these heroes, or choose from one of the several generic tokens included with this world. Your GM can find them inside of the module files, at:</p><p><code>pf2e-beginner-box/assets/portraits-heroes</code></p>","<p>新手入门盒是为以下四位传奇角色设计的，对于新玩家或想要直接开始行动的玩家来说，其中任何一位都是极佳的选择：</p><section class=""character-creation""><article class=""full""><section><figure><img src=""modules/pf2e-beginner-box/assets/tokens-heroes/iconics/kyra.webp"" width=""200"" /><figcaption>@Actor[yoAU5rWYH4KJGPr5]{凯拉}</figcaption></figure><figure><img src=""modules/pf2e-beginner-box/assets/tokens-heroes/iconics/valeros.webp"" width=""200"" /><figcaption>@Actor[vcwqnXHkhzFhrt7O]{瓦莱洛斯}</figcaption></figure><figure><img src=""modules/pf2e-beginner-box/assets/tokens-heroes/iconics/merisiel.webp"" width=""200"" /><figcaption>@Actor[czQ0MaZBu3BqMpce]{梅瑞希尔}</figcaption></figure><figure><img src=""modules/pf2e-beginner-box/assets/tokens-heroes/iconics/ezren.webp"" width=""200"" /><figcaption>@Actor[WNX5OQKPh4uaV7mW]{艾兹伦}</figcaption></figure></section></article></section><p>你可以在屏幕右侧侧边栏的角色标签页下的“英雄”中找到他们。 </p><p>要了解更多关于如何扮演这些传奇角色的信息，或帮助你决定扮演哪一位，你可以阅读每个职业的描述，其末尾附有他们的背景故事总结。</p><h2>其他角色</h2><p>如果你想扩大桌上的选择范围，传奇角色（Iconics）典籍库中的任何等级 1英雄都很合适。然而，其中一些英雄的职业或特性可能比新手入门盒中包含的更为复杂。</p><p>此外，你随时可以从头开始创建自己的英雄。在这种情况下，请参考@UUID[.RRxNZiD64dvvpWYt]{创建角色}日志页面。你需要为这些英雄提供自己的棋子，或者从本世界包含的几个通用棋子中选择。你的 GM 可以在模组文件中找到它们，路径为：</p><p><code>pf2e-beginner-box/assets/portraits-heroes</code></p>"
root.entries.Menace Under Otari.folders.Hazards,⚠️ 修正,Hazards->危害,Hazards,危害
root.entries.Menace Under Otari.journals.Gamemastering.pages.Downtime.name,✅ 新译,downtime->休整模式,Downtime,休整
root.entries.Pirate King's Plunder.journals.Adventure Steps.pages.#23.text,⚠️ 修正,darkness->黑暗 | rounding->取整 | damage->伤害 | damage->伤害 | damage->伤害 | damage->伤害 | check->检定 | level->等级,"<p class=""box-text narrative first"">Abandoning caution, you dive down the chute, heading into the freezing darkness!<br /><br />The surface is slick and freezing cold, and you pick up quite a bit of speed as you descend deeper into the earth. Just as the chute begins to level out, you see a massive icicle up ahead, blocking most of the tunnel. At this speed, running into it is going to hurt!</p><p>You can try to avoid hitting the icicle and taking any serious harm by attempting a DC 17 Reflex saving throw. Roll [[/r 1d20+5 #Reflex]].</p><p>If your check result is less than the DC, you take [[/r 1d8 #Damage]] points of damage from running into the icicle. If you succeed, you take half damage (roll the d8 and divide the number rolled in half, rounding down). If your roll results in a 20, you critically succeed and avoid the icicle completely, taking no damage! Finally, if your roll results in a 1 or a 2, you critically fail the saving throw and take double damage (roll the d8 and double the result).</p><p>If you survive, the chute drops you into a large chamber. Go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.DKDZReQDxqTz7sgu]{#03}.</p><p>If hitting the icicle reduces you to 0 Hit Points or fewer, go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.vvHdmlShxCXYyelw]{#17}.</p>","<p class=""box-text narrative first"">不再谨慎，你冲下滑道，一头扎进冰冷的黑暗中！<br /><br />滑道表面光滑且冰冷，随着你向地底深处坠落，你的速度变得相当快。就在滑道开始变得平缓时，你看到前方有一根巨大的冰柱，堵住了大部分通道。在这种速度下，撞上它会很疼！</p><p>你可以尝试进行一次 DC 17 的反射豁免检定，以试着避开冰柱并免受严重伤害。掷骰 [[/r 1d20+5 #Reflex]]。</p><p>如果你的检定结果小于 DC，你会因为撞上冰柱而受到 [[/r 1d8 #Damage]] 点伤害。如果你成功，你受到一半伤害（掷 d8 并将结果减半，向下取整）。如果你的掷骰结果为 20，你取得大成功并完全避开了冰柱，不受到伤害！最后，如果你的掷骰结果为 1 或 2，则你的豁免检定大失败，并受到双倍伤害（掷 d8 并将结果翻倍）。</p><p>如果你活了下来，滑道会将你送入一个巨大的房间。转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.DKDZReQDxqTz7sgu]{#03}。</p><p>如果撞击冰柱使你的生命值降至 0 或更低，转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.vvHdmlShxCXYyelw]{#17}。</p>"
root.entries.Menace Under Otari.journals.Creating Your Hero.pages.Choosing a Class.name,✅ 新译,class->职业,Choosing a Class,选择职业
root.entries.Menace Under Otari.journals.Gamemastering.pages.Weather.name,✅ 新译,weather->天气,Weather,天气
